timestamp,root_cause,alarm
0,chiller_plant,cdu
0,battery2,ups2
0,battery4,battery4
0,switch1,switch1
0,router3,router3
0,battery3,battery3
0,pac,pac
0,chiller_plant,chiller_plant
0,battery2,battery2
0,pdu,pdu
1,substation1,transformer1
1,generator1,transformer2
1,chiller_plant,cdu
1,cdu,pac
1,chiller_plant,chiller_plant
1,switch2,switch2
1,pdu,pdu
1,generator1,generator1
1,battery3,battery3
1,switch3,switch3
1,battery4,battery4
1,pac,pac
1,router2,router2
1,cdu,cdu
1,router1,router1
1,battery2,battery2
1,substation1,substation1
2,chiller_plant,cdu
2,battery2,ups2
2,pdu,pdu
2,battery4,battery4
2,router1,router1
2,chiller_plant,chiller_plant
2,pac,pac
2,battery2,battery2
2,router3,router3
2,switch0,switch0
3,substation2,transformer1
3,chiller_plant,cdu
3,cdu,pac
3,pac,pac
3,substation2,substation2
3,pdu,pdu
3,battery2,battery2
3,chiller_plant,chiller_plant
3,switch2,switch2
3,cdu,cdu
3,battery4,battery4
3,router2,router2
3,switch3,switch3
3,router1,router1
3,switch0,switch0
4,chiller_plant,cdu
4,battery1,battery1
4,switch3,switch3
4,chiller_plant,chiller_plant
4,battery4,battery4
4,switch2,switch2
4,pdu,pdu
4,pac,pac
4,switch1,switch1
4,router3,router3
5,substation2,transformer2
5,chiller_plant,cdu
5,router2,router2
5,substation2,substation2
5,pdu,pdu
5,battery2,battery2
5,chiller_plant,chiller_plant
5,pac,pac
6,substation1,transformer2
6,chiller_plant,cdu
6,cdu,pac
6,battery1,ups1
6,switch0,switch0
6,cdu,cdu
6,pdu,pdu
6,pac,pac
6,battery3,battery3
6,router1,router1
6,substation1,substation1
6,battery2,battery2
6,switch2,switch2
6,router2,router2
6,chiller_plant,chiller_plant
6,battery1,battery1
